"","Price","Age_08_04","Mfg_Year","KM","HP","Met_Color","Automatic","cc","Doors","Gears","Quarterly_Tax","Weight","Mfr_Guarantee","BOVAG_Guarantee","Guarantee_Period","ABS","Airbag_1","Airbag_2","Airco","Automatic_airco","Boardcomputer","CD_Player","Central_Lock","Powered_Windows","Power_Steering","Radio","Mistlamps","Sport_Model","Backseat_Divider","Metallic_Rim","Radio_cassette","Tow_Bar"
"1",13500,23,2002,46986,90,1,0,2000,3,5,210,1165,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
"2",13750,23,2002,72937,90,1,0,2000,3,5,210,1165,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0
"3",13950,24,2002,41711,90,1,0,2000,3,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"4",14950,26,2002,48000,90,0,0,2000,3,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"5",13750,30,2002,38500,90,0,0,2000,3,5,210,1170,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"6",12950,32,2002,61000,90,0,0,2000,3,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"7",12950,23,2002,71138,69,0,0,1900,3,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"8",17950,24,2002,21716,110,1,0,1600,3,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"9",16750,24,2002,25563,110,0,0,1600,3,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"10",16950,30,2002,64359,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"11",15950,30,2002,67660,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
"12",16950,29,2002,43905,110,0,1,1600,3,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"13",15950,28,2002,56349,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"14",16950,28,2002,32220,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"15",16250,29,2002,25813,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"16",15950,25,2002,28450,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"17",17495,27,2002,34545,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
"18",15750,29,2002,41415,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"19",16950,28,2002,44142,110,0,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"20",17950,30,2002,11090,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"21",12950,29,2002,9750,97,1,0,1400,3,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"22",15750,22,2002,35199,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
"23",15950,27,2002,29510,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"24",14950,26,2002,32692,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"25",15500,22,2002,41000,97,1,0,1400,3,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"26",15750,26,2002,43000,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"27",15950,25,2002,25000,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"28",14950,23,2002,10000,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
"29",15750,32,2002,25329,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"30",14750,27,2002,27500,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"31",13950,22,2002,49059,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"32",16750,27,2002,44068,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"33",13950,22,2002,46961,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"34",15800,22,2002,75048,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
"35",15750,30,2002,57086,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
"36",20500,26,2002,56000,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"37",15500,25,2002,49163,110,0,1,1600,5,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
"38",13250,32,2002,45725,110,1,0,1600,5,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
"39",15250,28,2002,43210,97,0,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"40",15250,26,2002,43000,97,0,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"41",18950,23,2002,39704,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"42",15999,30,2002,38950,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"43",14950,22,2002,37400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"44",16500,27,2002,37177,110,0,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"45",18750,31,2002,36544,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1
"46",17950,30,2002,33511,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"47",17950,27,2002,32809,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
"48",16950,26,2002,32181,110,1,0,1600,5,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"49",18950,28,2002,30993,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"50",14950,22,2002,30400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"51",15950,25,2002,29719,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0
"52",15950,28,2002,29206,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"53",12995,32,2002,29198,97,1,0,1400,5,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0
"54",18950,28,2002,28817,110,1,0,1598,5,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
"55",15750,23,2002,28227,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
"56",19950,28,2002,28000,110,0,0,1600,5,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0
"57",16950,23,2002,28000,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"58",18750,31,2002,25266,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"59",18450,27,2002,23489,110,0,0,1600,5,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
"60",16895,29,2002,22575,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"61",14900,30,2002,22000,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
"62",18950,25,2002,20019,110,1,1,16000,5,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"63",17250,29,2002,20000,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"64",15450,25,2002,17003,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
"65",17950,31,2002,16238,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"66",16650,25,2002,15414,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"67",17450,28,2002,8537,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"68",14900,30,2002,7000,97,1,0,1400,5,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"69",16450,20,2003,48110,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"70",15950,20,2003,33329,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"71",18900,20,2003,31850,110,0,0,1600,3,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
"72",18990,20,2003,23175,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"73",17950,20,2003,7187,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"74",18950,20,2003,39115,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"75",15950,20,2003,36000,110,1,0,1600,5,5,19,1075,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
"76",16500,20,2003,35000,97,1,0,1400,5,5,85,1110,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"77",16250,20,2003,32627,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"78",15950,20,2003,29797,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"79",16500,20,2003,29000,97,0,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
"80",19900,20,2003,23000,110,1,0,1600,5,5,85,1130,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"81",16450,20,2003,22588,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"82",20500,20,2003,20000,110,0,1,1600,5,5,100,1165,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
"83",17200,20,2003,17300,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"84",4750,44,2001,131273,69,1,0,1800,5,5,64,1110,0,0,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"85",11750,40,2001,130062,69,1,0,1900,5,5,185,1140,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
"86",13250,41,2001,123425,69,1,0,1900,5,5,185,1140,0,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
"87",11950,37,2001,118217,110,1,0,1600,5,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
"88",11900,44,2001,110000,69,1,0,1900,5,5,185,1095,0,0,6,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"89",9950,42,2001,105699,97,1,0,1400,3,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"90",11950,39,2001,98823,110,1,0,1600,5,5,197,1119,1,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1
"91",11495,44,2001,96829,110,1,0,1600,5,5,85,1075,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"92",11250,40,2001,96518,97,1,0,1400,3,5,69,1025,0,1,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
"93",10500,42,2001,92204,110,1,0,1600,5,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
"94",10450,35,2001,91456,69,1,0,1900,3,5,185,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"95",12950,43,2001,89968,69,1,0,1900,5,5,185,1140,0,0,3,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0
"96",11500,44,2001,89757,110,1,0,1600,3,5,69,1045,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
"97",12500,40,2001,85389,110,1,0,1600,5,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
"98",10950,43,2001,85017,97,0,0,1400,5,5,85,1060,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"99",11450,41,2001,84312,110,0,0,1600,5,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"100",11950,37,2001,82743,110,1,0,1600,5,5,197,1121,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
"101",13250,41,2001,81106,69,1,0,1900,5,5,185,1140,0,1,3,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
"102",11790,34,2001,78677,110,1,1,1600,5,5,85,1105,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
